#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::00 - Foundation::Recognition

有る	ある	to be (atamadaka (1))	Pitch-accent 1	atamadaka (1)	HL			[sound:156efeaf0de7.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
郊外	こうがい	suburb (atamadaka (1))	Pitch-accent 1	atamadaka (1)	HLLL			[sound:768df1b2712e.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
点	ちょぼ	dot (atamadaka (1))	Pitch-accent 1	atamadaka (1)	HL			[sound:1d59ea7cbbee.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
今度	こんど	this time (atamadaka (1))	Pitch-accent 1	atamadaka (1)	HLL			[sound:0634ffc8add8.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
今	いま	now (atamadaka (1))	Pitch-accent 1	atamadaka (1)	HL			[sound:d2130d70a08e.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
青い	あおい	blue (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:c6ae5797b9b3.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
盗む	ぬすむ	to steal (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:9c123be3ddcb.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
生きる	いきる	to live (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:37f4e3d32a37.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
苦い	にがい	bitter (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:6188849bbec2.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
朝御飯	あさごはん	breakfast (nakadaka (3))	Pitch-accent 3	nakadaka (3)	LHHLL	middle-drop pattern		[sound:6d08b094b141.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
明後日	あさって	day after tomorrow (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHLL	middle-drop pattern		[sound:f8d01afc1ef8.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
暖かい	あたたかい	warm (nakadaka (4))	Pitch-accent 4	nakadaka (4)	LHHHL	middle-drop pattern		[sound:c141850f9e8a.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
新しい	あたらしい	new (nakadaka (4))	Pitch-accent 4	nakadaka (4)	LHHHL	middle-drop pattern		[sound:7905abb96ea3.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
暑い	あつい	hot (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:2f7806f919a5.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
熱い	あつい	hot (to the touch) (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:51bcc9d34833.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
